"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
1,"I really enjoyed this one... hardcore @WPAOG #Niningeraward https://t.co/qhDdYWu5PC","SpencerGuard",2019-11-14 17:27:31,"WPAOG","West Point, NY",6242,1,NA,NA,NA,NA,NA
2,"@WPAOG @WarInstitute @WestPoint_USMA @Commandant_USMA @gaylelemmon","SpencerGuard",2019-11-07 12:39:46,"WPAOG","West Point, NY",6242,1,NA,NA,NA,NA,NA
3,"An intense situation. Great story. Thanks @WPAOG for allowing @WarInstitute capture it @WestPoint_USMA @Commandant_USMA https://t.co/gN1U7PIjAd","SpencerGuard",2019-11-07 12:32:00,"WPAOG","West Point, NY",6242,0,NA,NA,NA,NA,NA
4,"#OTD 14 Nov 1930-Edward Higgins White (1952) born. One of nine men chosen in 1962 to become an astronaut, on 6/3/65, he became the first American to walk in space during the Gemini 4 mission. Perished in Apollo 1 fire. Posthumously awarded Space Medal of Honor in 1997. #WPAOG150 https://t.co/hRIkZeW9Sz","WPAOG",2019-11-14 13:45:00,"WPAOG","West Point, NY",15353,24,NA,NA,NA,NA,NA
5,"Today we salute all veterans. Thank you to all the brave men and women and members of the #LongGrayLine who served and continue to serve our great nation. #DutyHonorCountry https://t.co/0nNNDVzVyT","WPAOG",2019-11-11 12:20:00,"WPAOG","West Point, NY",15353,95,NA,NA,NA,NA,NA
6,"#BeThouAtPeace LTC Charles D. Palmer '49 (USA RET) https://t.co/HDyHJxYqAh https://t.co/JaNiJCG6B2","WPAOG",2019-11-14 15:39:11,"WPAOG","West Point, NY",15353,6,NA,NA,NA,NA,NA
7,"West Point astronaut COL Drew Morgan '98 is scheduled for a spacewalk Friday--watch live on NASA TV https://t.co/ws5FcoMEkY","WPAOG",2019-11-13 18:31:02,"WPAOG","West Point, NY",15353,6,NA,NA,NA,NA,NA
8,"#BeThouAtPeace GEN Volney F. Warner '50 (USA RET) https://t.co/VYcPurkWwV https://t.co/HlCs4DhF6T","WPAOG",2019-11-13 15:10:39,"WPAOG","West Point, NY",15353,4,NA,NA,NA,NA,NA
9,"Robinson Auditorium is filling up with #USMA2020 for Branch Night! https://t.co/s22FKi4gOH","WPAOG",2019-11-14 00:26:12,"WPAOG","West Point, NY",15353,46,NA,NA,NA,NA,NA
10,"Congrats Army WP W Basketball on the WIN over Air Force! Well done! https://t.co/TUmM31amxH","WPAOG",2019-11-14 10:58:51,"WPAOG","West Point, NY",15353,9,NA,NA,NA,NA,NA
11,"Check out photos from the WPAOG Beat UMass Open House and the Army vs. UMass game this weekend! 
https://t.co/kusv1kQaaJ","WPAOG",2019-11-13 15:17:10,"WPAOG","West Point, NY",15353,8,NA,NA,NA,NA,NA
