Week,United States Military Academy: (United States)
11/16/2014,22
11/23/2014,17
11/30/2014,20
12/7/2014,36
12/14/2014,24
12/21/2014,18
12/28/2014,18
1/4/2015,19
1/11/2015,18
1/18/2015,20
1/25/2015,22
2/1/2015,20
2/8/2015,23
2/15/2015,20
2/22/2015,19
3/1/2015,22
3/8/2015,18
3/15/2015,19
3/22/2015,20
3/29/2015,19
4/5/2015,21
4/12/2015,21
4/19/2015,21
4/26/2015,21
5/3/2015,19
5/10/2015,21
5/17/2015,21
5/24/2015,22
5/31/2015,19
6/7/2015,18
6/14/2015,17
6/21/2015,20
6/28/2015,21
7/5/2015,20
7/12/2015,17
7/19/2015,19
7/26/2015,18
8/2/2015,20
8/9/2015,24
8/16/2015,24
8/23/2015,21
8/30/2015,31
9/6/2015,31
9/13/2015,24
9/20/2015,22
9/27/2015,26
10/4/2015,27
10/11/2015,30
10/18/2015,32
10/25/2015,21
11/1/2015,49
11/8/2015,39
11/15/2015,25
11/22/2015,22
11/29/2015,21
12/6/2015,47
12/13/2015,25
12/20/2015,21
12/27/2015,19
1/3/2016,23
1/10/2016,20
1/17/2016,18
1/24/2016,19
1/31/2016,22
2/7/2016,18
2/14/2016,18
2/21/2016,19
2/28/2016,19
3/6/2016,20
3/13/2016,21
3/20/2016,20
3/27/2016,20
4/3/2016,19
4/10/2016,20
4/17/2016,20
4/24/2016,19
5/1/2016,24
5/8/2016,39
5/15/2016,26
5/22/2016,30
5/29/2016,23
6/5/2016,22
6/12/2016,23
6/19/2016,21
6/26/2016,24
7/3/2016,22
7/10/2016,17
7/17/2016,17
7/24/2016,21
7/31/2016,16
8/7/2016,18
8/14/2016,19
8/21/2016,19
8/28/2016,21
9/4/2016,24
9/11/2016,28
9/18/2016,28
9/25/2016,24
10/2/2016,22
10/9/2016,23
10/16/2016,24
10/23/2016,21
10/30/2016,25
11/6/2016,22
11/13/2016,24
11/20/2016,21
11/27/2016,22
12/4/2016,51
12/11/2016,31
12/18/2016,17
12/25/2016,21
1/1/2017,18
1/8/2017,20
1/15/2017,19
1/22/2017,18
1/29/2017,21
2/5/2017,21
2/12/2017,20
2/19/2017,21
2/26/2017,20
3/5/2017,20
3/12/2017,19
3/19/2017,19
3/26/2017,20
4/2/2017,19
4/9/2017,19
4/16/2017,19
4/23/2017,20
4/30/2017,20
5/7/2017,20
5/14/2017,18
5/21/2017,21
5/28/2017,23
6/4/2017,17
6/11/2017,17
6/18/2017,18
6/25/2017,17
7/2/2017,23
7/9/2017,17
7/16/2017,15
7/23/2017,17
7/30/2017,17
8/6/2017,17
8/13/2017,24
8/20/2017,20
8/27/2017,22
9/3/2017,22
9/10/2017,27
9/17/2017,22
9/24/2017,32
10/1/2017,42
10/8/2017,27
10/15/2017,32
10/22/2017,23
10/29/2017,22
11/5/2017,25
11/12/2017,23
11/19/2017,22
11/26/2017,20
12/3/2017,56
12/10/2017,30
12/17/2017,24
12/24/2017,22
12/31/2017,17
1/7/2018,20
1/14/2018,21
1/21/2018,20
1/28/2018,18
2/4/2018,18
2/11/2018,17
2/18/2018,22
2/25/2018,18
3/4/2018,17
3/11/2018,18
3/18/2018,16
3/25/2018,18
4/1/2018,17
4/8/2018,19
4/15/2018,18
4/22/2018,19
4/29/2018,18
5/6/2018,17
5/13/2018,17
5/20/2018,23
5/27/2018,22
6/3/2018,18
6/10/2018,15
6/17/2018,18
6/24/2018,17
7/1/2018,21
7/8/2018,16
7/15/2018,17
7/22/2018,15
7/29/2018,17
8/5/2018,16
8/12/2018,25
8/19/2018,20
8/26/2018,21
9/2/2018,22
9/9/2018,25
9/16/2018,22
9/23/2018,26
9/30/2018,19
10/7/2018,20
10/14/2018,25
10/21/2018,21
10/28/2018,24
11/4/2018,25
11/11/2018,29
11/18/2018,21
11/25/2018,20
12/2/2018,56
12/9/2018,27
12/16/2018,23
12/23/2018,17
12/30/2018,18
1/6/2019,19
1/13/2019,18
1/20/2019,18
1/27/2019,17
2/3/2019,17
2/10/2019,19
2/17/2019,19
2/24/2019,19
3/3/2019,19
3/10/2019,21
3/17/2019,19
3/24/2019,17
3/31/2019,16
4/7/2019,17
4/14/2019,17
4/21/2019,19
4/28/2019,17
5/5/2019,19
5/12/2019,19
5/19/2019,29
5/26/2019,27
6/2/2019,100
6/9/2019,21
6/16/2019,17
6/23/2019,19
6/30/2019,20
7/7/2019,16
7/14/2019,17
7/21/2019,16
7/28/2019,16
8/4/2019,16
8/11/2019,18
8/18/2019,20
8/25/2019,22
9/1/2019,36
9/8/2019,25
9/15/2019,22
9/22/2019,21
9/29/2019,26
10/6/2019,21
10/13/2019,22
10/20/2019,50
10/27/2019,23
11/3/2019,28
11/10/2019,59
