Month,West Point Army: (United States)
2004-01,40
2004-02,65
2004-03,40
2004-04,41
2004-05,42
2004-06,61
2004-07,34
2004-08,52
2004-09,56
2004-10,66
2004-11,66
2004-12,66
2005-01,43
2005-02,45
2005-03,65
2005-04,50
2005-05,49
2005-06,58
2005-07,42
2005-08,44
2005-09,65
2005-10,65
2005-11,90
2005-12,83
2006-01,49
2006-02,49
2006-03,39
2006-04,65
2006-05,41
2006-06,53
2006-07,47
2006-08,55
2006-09,90
2006-10,63
2006-11,71
2006-12,47
2007-01,43
2007-02,37
2007-03,25
2007-04,34
2007-05,32
2007-06,37
2007-07,36
2007-08,43
2007-09,57
2007-10,52
2007-11,55
2007-12,45
2008-01,29
2008-02,35
2008-03,32
2008-04,39
2008-05,38
2008-06,29
2008-07,39
2008-08,43
2008-09,50
2008-10,51
2008-11,47
2008-12,56
2009-01,35
2009-02,32
2009-03,40
2009-04,30
2009-05,32
2009-06,35
2009-07,35
2009-08,41
2009-09,58
2009-10,54
2009-11,47
2009-12,48
2010-01,30
2010-02,27
2010-03,30
2010-04,34
2010-05,37
2010-06,34
2010-07,26
2010-08,26
2010-09,44
2010-10,44
2010-11,49
2010-12,44
2011-01,35
2011-02,30
2011-03,28
2011-04,34
2011-05,37
2011-06,32
2011-07,28
2011-08,37
2011-09,49
2011-10,44
2011-11,40
2011-12,51
2012-01,28
2012-02,27
2012-03,28
2012-04,27
2012-05,31
2012-06,31
2012-07,29
2012-08,32
2012-09,39
2012-10,46
2012-11,38
2012-12,57
2013-01,28
2013-02,31
2013-03,33
2013-04,26
2013-05,31
2013-06,29
2013-07,27
2013-08,35
2013-09,44
2013-10,38
2013-11,39
2013-12,51
2014-01,31
2014-02,26
2014-03,24
2014-04,25
2014-05,31
2014-06,31
2014-07,25
2014-08,32
2014-09,39
2014-10,39
2014-11,43
2014-12,48
2015-01,23
2015-02,28
2015-03,26
2015-04,41
2015-05,34
2015-06,31
2015-07,37
2015-08,36
2015-09,48
2015-10,57
2015-11,52
2015-12,68
2016-01,32
2016-02,33
2016-03,30
2016-04,33
2016-05,42
2016-06,32
2016-07,30
2016-08,27
2016-09,65
2016-10,50
2016-11,54
2016-12,87
2017-01,33
2017-02,39
2017-03,38
2017-04,39
2017-05,36
2017-06,29
2017-07,34
2017-08,32
2017-09,65
2017-10,54
2017-11,55
2017-12,100
2018-01,36
2018-02,37
2018-03,32
2018-04,34
2018-05,37
2018-06,32
2018-07,33
2018-08,39
2018-09,58
2018-10,54
2018-11,58
2018-12,93
2019-01,33
2019-02,38
2019-03,33
2019-04,35
2019-05,37
2019-06,42
2019-07,32
2019-08,41
2019-09,63
2019-10,52
2019-11,72
